Nom;SIRET;Type d'entité;Mode labellisation;Organisme Évaluateur;Chargé de compte;Dernier audit;Dernière mise à jour
CAFES FACTORERIE;38022213300049;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
CACOLAC;45620239900048;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BY WOMEN COMPANY;84502116100011;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BRITT BRASSERIE DE BRETAGNE;41867174900012;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BRIOCHES FONTENEAU;32810477300010;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BRETZEL BURGARD;43777366600122;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BRASSERIE METEOR;59850064300013;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BRASSERIE LICORNE;38107778300029;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BRASSERIE DUYCK;40116220100024;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BRASSERIE DES 3 MONTS;33185949600019;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BRASSERIE CASTELAIN;31525575200018;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BPA ANGERS;32872594000030;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BORDE SA;78826729200043;Entreprise;Maître;Ecocert;;Planifié - Renouvellement;26 mai 2026
BONBEC SHOW;44978663100019;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BOEHLI  SAS;41523042400020;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BLOOMUP;52425386100016;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BISCUITS FOSSIER;37826992200050;Entreprise;Maître;Ecocert;;Terminé - Suivi (documentaire);26 mai 2026
BISCUITERIE FINE DE FRANCE;34954336300023;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BISCUITERIE DE L'ABBAYE;37645002900016;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BISCUITERIE EUGENE BLOND;40297092500036;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BIOVIVER CONSERVERIE;34989119200024;Entreprise;Suiveur;Ecocert;;Planifié - Renouvellement;26 mai 2026
BIOGROUPE;51880245900041;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BIOPLANTS FRANCE;52772723400033;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BIOFUTURE;51311797800033;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
BINIC GASTRONOMIE SAS;42352009700027;Entreprise;Suiveur;Ecocert;;Terminé - Suivi (physique);26 mai 2026
BIERES FINES / DECK & DONOHUE;79746103500025;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
BALARAMA;80968125700014;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
AQUALIS SEAFOOD;41374797300035;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
APIDIS;39526901200054;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
ALTHO SAS;39772959100016;Entreprise;Maître;Ecocert;;Terminé - Renouvellement;26 mai 2026
ALTERFOOD;51217542300015;Entreprise;Maître;Ecocert;;Planification - Renouvellement;26 mai 2026
ALPINA SAVOIE;74572113400013;Entreprise;Maître;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
ALPHANUTRITION;45015773000026;Entreprise;Suiveur;Ecocert;;Planification - Suivi (documentaire);26 mai 2026
