ligne;siret;nom;saison;type_audit;statut_ecocert;probleme;details
1090;38238136600048;BISCUITERIE DE PROVENCE;2022;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 38238136600048 — SIREN 382381366 absent de la base, nom non rapproché
1091;52875804800011;EURO 5;2022;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 52875804800011 → entité « EURO 5 » (SIRET base 52875804800000)
1098;;EXTRUPLAST;2022;Annual inspection;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « EXTRUPLAST » (SIRET base 41513341200015)"
1102;01575153000013;MULOT ET PETITJEAN;2022;Annual inspection;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 01575153000013 — SIREN 015751530 absent de la base, nom non rapproché
1104;;LOBODIS;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « LOBODIS » (SIRET base 34465626900075)"
1110;;NUTRIANNE;2022;Renewal audit;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1111;74562027800044;ROUTIN;2022;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 74562027800044 → entité « ROUTIN SA » (SIRET base 74562027800010)
1115;;AQUITAINE SPECIALITES;2022;Documentary review;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1118;;CAROLA;2022;Documentary review;4-Certification finished;Audit rattaché par nom;"SIRET audit """" → entité « CAROLA » (SIRET base 91542023600019)"
1120;85580259100013;NATURE ET ALIMENTS;2022;Documentary review;4-Certification finished;Audit rattaché par SIREN;SIRET audit 85580259100013 → entité « NATURE ET ALIMENTS » (SIRET base 85580259100021)
1122;75720010000019;BISCUITS BOUVARD;2022;Initial inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 75720010000019 → entité « BISCUITS BOUVARD » (SIRET base 75720010000027)
1129;50185556300018;AMERICAN DESSERTS;2022;Documentary review;4-Certification finished;SIRET inconnu dans la base FEEF;SIRET Ecocert : 50185556300018 — SIREN 501855563 absent de la base, nom non rapproché
1130;;CIDRES LEBRUN;2022;Annual inspection;4-Certification finished;SIRET manquant;"SIRET brut : """" — nom non rapproché à une entité de la base"
1131;62162092100075;CONFISERIE DU ROY RENE;2022;Annual inspection;4-Certification finished;Audit rattaché par SIREN;SIRET audit 62162092100075 → entité « CONFISERIE DU ROY RENE » (SIRET base 62162092100026)
