# id_fille,code_Sage_fille,name_fille,date_entered_fille,date_modified_fille,name_commercial_fille,status_fille,type_fille,est_alimentaire,est_non_alimentaire,is_certified_fille,is_group_adherent_fille,adherent_number_fille,siret_fille,deleted_fille,id_mere,code_Sage_mere,name_mere,name_commercial_mere,status_mere,type_mere,is_group_adherent_mere,adherent_number_mere,siret_mere,deleted_mere,is_mother_master
fa5cdbca-e8dd-11e9-8628-fa163eb33c65,,COMPAGNIE DU MIDI (CHIMITEX),7/10/2019,6/1/2026,COMPAGNIE DU MIDI,ADH,pme,1,0,1,1,,3732059500020,0,08781210-e8de-11e9-add8-fa163eb33c65,,PRODEF,PRODEF - HYGIENE ET NATURE - COMPAGNIE DU MIDI,ADH,pme,1,,56207071400174,0,1
00b24f5a-e8de-11e9-ae82-fa163eb33c65,,HYGIENE ET NATURE,7/10/2019,6/1/2026,HYGIENE ET NATURE,ADH,pme,1,0,1,1,,1715010300046,0,08781210-e8de-11e9-add8-fa163eb33c65,,PRODEF,PRODEF - HYGIENE ET NATURE - COMPAGNIE DU MIDI,ADH,pme,1,,56207071400174,0,1
fe93eb48-e8dd-11e9-83c4-fa163eb33c65,,FRAIDIS,7/10/2019,28/4/2025,FRAIDIS,ADH,pme,1,0,1,1,,40315475000018,0,0c134430-e8de-11e9-a37c-fa163eb33c65,,TRADITIONAL WORLD FOOD (TWF),TRADITIONAL WORLD FOOD (TWF),ADH,pme,1,,35405912300019,0,1
11f80e16-87c6-11eb-9b71-fa163eb33c65,,Mainjolle,18/3/2021,26/1/2026,Mainjolle,ADH,pme,1,0,1,1,,41011163700055,0,0b54896e-e8de-11e9-ba22-fa163eb33c65,,SUDAGRO,HIRUAK- MAINJOLLE- LES GOUTS DU SUD- SALAISON DE ST SAUVEUR,ADH,pme,1,,75048552600024,0,1
e989dfc0-8f92-11eb-ae19-fa163eb33c65,,Salaisons de Saint Sauveur sas,28/3/2021,26/1/2026,Salaisons de Saint Sauveur sas,ADH,pme,1,0,1,1,,50043831200026,0,0b54896e-e8de-11e9-ba22-fa163eb33c65,,SUDAGRO,HIRUAK- MAINJOLLE- LES GOUTS DU SUD- SALAISON DE ST SAUVEUR,ADH,pme,1,,75048552600024,0,1
fd2a2d1c-e8dd-11e9-8f1a-fa163eb33c65,,EPIDIS,7/10/2019,2/9/2025,EPIDIS,ADH,pme,1,0,1,1,,39926197300016,0,0c134430-e8de-11e9-a37c-fa163eb33c65,,TRADITIONAL WORLD FOOD (TWF),TRADITIONAL WORLD FOOD (TWF),ADH,pme,1,,35405912300019,0,1
646544e0-8305-11eb-a7ad-fa163eb33c65,,HIRUAK,12/3/2021,6/11/2025,HIRUAK,ADH,pme,1,0,1,1,,30055861600011,0,0b54896e-e8de-11e9-ba22-fa163eb33c65,,SUDAGRO,HIRUAK- MAINJOLLE- LES GOUTS DU SUD- SALAISON DE ST SAUVEUR,ADH,pme,1,,75048552600024,0,1
80c2f98e-8f8f-11eb-a93b-fa163eb33c65,,SAS ROSTAIN,28/3/2021,6/11/2025,Rostain - Regal Bio,ADH,pme,1,0,1,1,,39977943800031,0,0b54896e-e8de-11e9-ba22-fa163eb33c65,,SUDAGRO,HIRUAK- MAINJOLLE- LES GOUTS DU SUD- SALAISON DE ST SAUVEUR,ADH,pme,1,,75048552600024,0,1
722cf6da-9094-11eb-8b6e-fa163eb33c65,,Les gouts du Sud,29/3/2021,6/11/2025,Pedelhez,ADH,pme,1,0,1,1,,47924424600019,0,0b54896e-e8de-11e9-ba22-fa163eb33c65,,SUDAGRO,HIRUAK- MAINJOLLE- LES GOUTS DU SUD- SALAISON DE ST SAUVEUR,ADH,pme,1,,75048552600024,0,1
ab5d6eb2-6606-11ef-a91c-005056966fe6,,CRYSTAL,29/8/2024,6/1/2026,ILSA DELICE,ADH,eti,1,0,1,1,,,0,0d915c66-e8de-11e9-b918-fa163eb33c65,,ZAPHIR / AMALRIC,ISLA DELICE,ADH,eti,1,,38020082400072,0,1
f5d721dc-e8dd-11e9-9512-fa163eb33c65,,ALFAGEL,7/10/2019,3/11/2025,ALFAGEL,ADH,pme,1,0,1,1,,47998353800022,0,cabfef66-f7d7-11e9-9bc1-fa163eb33c65,,GROUPE  KASKASS,GROUPE  KASKASS,ADH,tpe,1,,,0,0
f7c839e0-e8dd-11e9-ae66-fa163eb33c65,,BISCUITERIE EUGENE BLOND,7/10/2019,13/1/2026,MANUFACTURE DU BISCUIT,ADH,pme,1,0,1,1,,40297092500036,0,a271acda-f7db-11e9-ad13-fa163eb33c65,,GROUPE EUGENE BLOND,GROUPE EUGENE BLOND,ADH,tpe,1,,,0,0
fe4f8034-e8dd-11e9-8602-fa163eb33c65,,FIDELE,7/10/2019,13/1/2026,FIDELE,ADH,pme,1,0,1,1,,44461361600028,0,1350203e-f7dd-11e9-b90e-fa163eb33c65,,GROUPE LE GRAET,GROUPE LE GRAET,ADH,eti,1,,,0,1
